Freq.	V(n003)
4.46683592150962e+003	9.98220416289972e-001,-5.95006859633378e-002
5.01187233627271e+003	9.97760165741709e-001,-6.67530205775276e-002
5.62341325190348e+003	9.97180750876068e-001,-7.48870368690584e-002
6.30957344480191e+003	9.96451320461836e-001,-8.40089810720009e-002
7.07945784384136e+003	9.95533036899371e-001,-9.42375127156451e-002
7.94328234724279e+003	9.94377009189972e-001,-1.05704992150930e-001
8.91250938133743e+003	9.92921690985931e-001,-1.18558831496519e-001
9.99999999999997e+003	9.91089605184264e-001,-1.32962878066044e-001
1.12201845430196e+004	9.88783220443243e-001,-1.49098779533798e-001
1.25892541179416e+004	9.85879759264875e-001,-1.67167251143457e-001
1.41253754462275e+004	9.82224659048776e-001,-1.87389123100684e-001
1.58489319246111e+004	9.77623332841684e-001,-2.10005984918390e-001
1.77827941003892e+004	9.71830779741365e-001,-2.35280153855187e-001
1.99526231496887e+004	9.64538467698940e-001,-2.63493562637781e-001
2.23872113856833e+004	9.55357741007672e-001,-2.94944964656059e-001
2.51188643150957e+004	9.43798771158933e-001,-3.29944554318519e-001
2.81838293126444e+004	9.29243742190074e-001,-3.68804628014225e-001
3.16227766016837e+004	9.10912494765818e-001,-4.11824140448112e-001
3.54813389233574e+004	8.87818189147246e-001,-4.59263698062632e-001
3.98107170553496e+004	8.58709643435943e-001,-5.11305194888992e-001
4.46683592150961e+004	8.21995948802015e-001,-5.67985980522102e-001
5.01187233627270e+004	7.75648361363562e-001,-6.29089277315465e-001
5.62341325190347e+004	7.17076584821655e-001,-6.93957003168178e-001
6.30957344480191e+004	6.42988499634223e-001,-7.61162265637533e-001
7.07945784384135e+004	5.49284306314206e-001,-8.27929488374879e-001
7.94328234724278e+004	4.31159267409610e-001,-8.89124763285306e-001
8.91250938133742e+004	2.83902247927343e-001,-9.35630007251419e-001
9.99999999999995e+004	1.05506784503245e-001,-9.52283602256032e-001
1.12201845430196e+005	-9.71787273240297e-002,-9.17206189848337e-001
1.25892541179416e+005	-2.98960745255302e-001,-8.08051292624329e-001
1.41253754462275e+005	-4.53333271256944e-001,-6.21573671071475e-001
1.58489319246111e+005	-5.15389878238528e-001,-3.94617544332446e-001
1.77827941003891e+005	-4.81111894480287e-001,-1.89709896261337e-001
1.99526231496887e+005	-3.90252007650530e-001,-4.84714453310625e-002
2.23872113856833e+005	-2.88392757905655e-001,2.76786036852647e-002
2.51188643150957e+005	-2.01137241657338e-001,5.84645469373379e-002
2.81838293126444e+005	-1.35468178135475e-001,6.41311248404706e-002
3.16227766016836e+005	-8.93288587498358e-002,5.82996331944695e-002
3.54813389233574e+005	-5.81331582995930e-002,4.85001576441104e-002
3.98107170553495e+005	-3.75104949947210e-002,3.83708430012707e-002
4.46683592150961e+005	-2.40648590062106e-002,2.94177146990315e-002
5.01187233627269e+005	-1.53766582326638e-002,2.20858056768562e-002
5.62341325190346e+005	-9.79651320074975e-003,1.63407296685470e-002
6.30957344480190e+005	-6.22784790858678e-003,1.19635941681713e-002
7.07945784384134e+005	-3.95266600997724e-003,8.69131318785007e-003
7.94328234724277e+005	-2.50549556718332e-003,6.27746217305600e-003
8.91250938133740e+005	-1.58661554159823e-003,4.51402278887310e-003
9.99999999999994e+005	-1.00396262381033e-003,3.23496963696851e-003
1.12201845430196e+006	-6.34896175603855e-004,2.31226241423706e-003
1.25892541179416e+006	-4.01312467094134e-004,1.64936733158168e-003
1.41253754462275e+006	-2.53571614469131e-004,1.17463971189791e-003
1.58489319246110e+006	-1.60173473151635e-004,8.35503865193065e-004
1.77827941003891e+006	-1.01153105478120e-004,5.93696944125275e-004
1.99526231496887e+006	-6.38686267106442e-005,4.21545347988367e-004
2.23872113856833e+006	-4.03210939910700e-005,2.99128549056855e-004
2.51188643150956e+006	-2.54522730322103e-005,2.12158887902763e-004
2.81838293126443e+006	-1.60650027879052e-005,1.50417468921587e-004
3.16227766016836e+006	-1.01391901211971e-005,1.06611392398415e-004
3.54813389233573e+006	-6.39882908883200e-006,7.55448024365444e-005
3.98107170553494e+006	-4.03810618357679e-006,5.35208280352739e-005
4.46683592150960e+006	-2.54823258055480e-006,3.79118899965022e-005
5.01187233627269e+006	-1.60800639741187e-006,2.68519595704333e-005
5.62341325190345e+006	-1.01467382619689e-006,1.90167027742698e-005
6.30957344480189e+006	-6.40261199321176e-007,1.34667147178679e-005
7.07945784384133e+006	-4.04000207792663e-007,9.53590836442222e-006
7.94328234724276e+006	-2.54918275961505e-007,6.75214577364692e-006
8.91250938133739e+006	-1.60848260763820e-007,4.78085023760121e-006
1.00000000000000e+007	-1.01491249379507e-007,3.38497477917947e-006
